"";"Andrena.lapponica";"Anoplius.nigerrimus.";"Bombus.cingulatus";"Bombus.jonellus";"Bombus.pascuorum";"Bombus.pratorum";"Halictus.rubicundus";"Hylaeus.annulatus";"Lasioglossum.fratellum";"Vespula.rufa.";"Agenioideus.cinctellus.";"Ancistrocerus.trifasciatus.";"Arachnospila.anceps";"Arachnospila.hedickei";"Arachnospila.spissa.";"Bombus.lucorum";"Chrysis.pseudobrevitarsis.";"Crossocerus.leucostoma";"Dolichurus.corniculus";"Ectemnius.borealis.";"Ectemnius.continuus.";"Ectemnius.guttatus.";"Euodynerus.quadrifasciatus";"Evagetes.crassicornis.";"Hylaeus.angustatus";"Lasioglossum.albipes";"Lasioglossum.leucopus";"Lasioglossum.rufitarse";"Mimumesa.dahlbomi.";"Nomada.panzeri";"Omalus.aeneus.";"Omalus.puncticollis";"Osmia.nigriventris";"Passaloecus.singularis.";"Passaloecus.turionum.";"Pemphredon.lugens.";"Priocnemis.parvula.";"Pseudomalus.triangulifer.";"Sphecodes.hyalinatus";"Stenodynerus.picticrus.";"Trichrysis.cyanea.";"Trypoxylon.medium.";"Apis.mellifera";"Arachnospila.trivialis.";"Cerceris.quadrifasciata.";"Megachile.lapponica";"Megachile.willughbiella";"Nitela.borealis.";"Pemphredon.montana.";"Trypoxylon.minus.";"Alysson.ratzeburgi.";"Andrena.subopaca";"Bombus.cryptarum";"Chrysis.ignita.gruppen.sp.";"Coelioxys.elongata";"Crossocerus.vagabundus.";"Dipogon.bifasciatus.";"Dipogon.variegatus.";"Discoelius.dufourii.";"Dolichovespula.norwegica.";"Ectemnius.ruficornis.";"Evagetes.sahlbergi.";"Hylaeus.incongruus";"Nomada.flavoguttata";"Priocnemis.schioedtei.";"Pseudomalus.auratus.";"Sphecodes.crassus";"Dolichovespula.norvegicoides";"Lasioglossum.calceatum";"Pemphredon.lugubris.";"Crossocerus.megacephalus";"Bombus.sporadicus";"Brachygaster.minutus";"Chrysis.angustula.";"Chrysis.schencki.";"Crossocerus.barbipes";"Hedychrum.niemelaei.";"Osmia.uncinata";"Passaloecus.monilicornis";"Symmorphus.bifasciatus.";"Trypoxylon.figulus.";"Anoplius.viaticus.";"Bombus.hypnorum";"Dipogon.vechti.";"Dolichovespula.saxonica.";"Evagetes.alamannicus";"Spilomena.differens";"Crossocerus.lundbladi";"Diodontus.medius.";"Pemphredon.inornata.";"Priocnemis.perturbator.";"Spilomena.curruca.";"Bombus.hortorum";"Bombus.lucorum.coll.";"Bombus.sylvarum";"Chrysis.impressa.";"Chrysura.hirsuta.";"Crossocerus.ovalis.";"Ectemnius.rubicola.";"Nysson.spinosus."
"505";3;1;9;1;1;2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1935";2;5;1;2;1;2;5;2;4;0;3;1;1;1;2;1;1;2;1;1;7;3;1;1;1;4;1;1;2;2;1;1;1;1;1;1;1;1;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2746";1;0;0;2;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;1;3;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3126";2;13;2;1;2;0;5;8;2;0;9;0;1;0;8;1;1;1;0;0;5;2;1;4;0;0;1;1;3;2;2;0;0;1;2;0;0;2;8;0;1;1;0;2;0;3;0;0;0;0;1;1;1;2;1;1;1;1;2;1;3;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3191";1;0;7;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3298";1;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4402";0;0;1;2;0;1;0;13;0;0;0;0;0;0;0;0;0;2;0;5;0;1;2;0;0;0;0;2;2;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;2;1;1;2;1;1;1;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4725";1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4848";0;2;3;2;2;2;5;1;1;1;0;0;0;0;2;1;0;0;0;0;1;1;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"5655";1;0;2;3;4;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6083";2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6210";0;1;1;1;3;0;4;10;1;1;2;0;0;0;1;1;0;2;0;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;2;2;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0
"6232";0;0;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6323";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"7315";1;0;6;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7552";0;7;0;0;11;2;3;12;5;0;2;1;0;0;4;0;1;2;2;2;2;0;1;0;0;0;0;1;2;0;0;0;0;1;2;1;0;2;0;0;0;0;0;0;0;1;0;0;0;9;0;0;1;1;0;0;3;0;7;0;2;0;0;0;0;1;0;0;2;0;3;1;0;1;2;0;4;0;1;1;2;0;0;4;0;0;0;0;0;2;0;0;1;1;1;1;1;1;1;4
"8570";0;0;1;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8668";0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
